x,y,osm_id,addr:housenumber,tourism,building,name,addr:housename,operator,amenity,name:en,addr:city,addr:postcode,int_name,wikidata,addr:street,addr:country,addr:city:en,addr:street:en,website,internet_access:fee,phone,stars,email,internet_access,alt_name,contact:phone,fax,rooms,contact:website,level,building:levels,surveillance:type,surveillance,name1,payment:mastercard,payment:american_express,name:mk,brand:wikipedia,opening_hours,payment:visa,smoking,wheelchair,payment:diners_club,addr:place,contact:booking.com,contact:facebook,contact:google_plus,contact:tripadvisor,name:sq
21.4293258,41.9969343,43723187,8,hotel,yes,Хотел Јадран,,Македонијатурист,,Hotel Jadran,Cкoпje,1000,Hotel Jadran,,27 Март,MK,Skopje,27 Mart,,,,,,,,,,,,,,,,Арапска Куќа,,,,,,,,,,,,,,,
21.42971235,41.9970513,613902029,55,hotel,house,Ibis Skopje City Center,,Accor Group,,,Cкoпje,1000,,,Орце Николов,MK,Skopje,,https://www.accorhotels.com/nl/hotel-9672-ibis-skopje-city-center/index.shtml,,+38923123700,,H9672@accor.com,,,,,,,,,,,,,,,,,,,,,,,,,,
21.43716999,41.99026486,379748884,36,hotel,yes,Премиер,,,,Premier,,,Premier,,Јосиф Јосифовски Свештарот,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.43573793,41.99458846,28212860,2,hotel,hotel,Holiday Inn Skopje,,Holiday Inn,,Holiday Inn,Cкoпje,1000,,,Моша Пијаде,MK,Skopje,Mosa Pijade,https://www.holiday-inn.com/skopje,no,+389 2 3292929,4,hiskopje@holiday-inn.com.mk,wlan,,,+389 2 3115503,178,,,9,,,,yes,yes,Холидеј Ин,mk:Холидеј Ин,24/7,yes,separated,yes,yes,,,,,,
21.4445839,41.9941814,520541600,,hotel,yes,Apart Hotel Kalonis,,,,,Cкoпje,1000,,,Велешка,,,,,yes,,3,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
21.43448328,41.99734508,32854672,1,hotel,hotel,Hotel Stone Bridge,,,,,Cкoпje,1000,,,Кеј Димитар Влахов,MK,Skopje,Kej Dimitar Vlahov,http://stonebridge-hotel.com/,no,+389 2 3244900,5,info@stonebridge-hotel.com,yes,,,+389 2 3244901,40,,,,,,,,,,,,,,,,,,,,,
21.43917865,41.99663585,279392655,1737,hotel,hotel,Opera House Hotel Skopje,,,,,Cкoпje,1000,,,"1733, 24",MK,Skopje,,http://operahousehotel.mk,no,+389 (0)2 3 22 50 07,4,info@operahousehotel.mk,wlan,,,,,,,6,,,,,,,,,,,,,,,,,,
21.4396124,41.99681565,279392659,6,hotel,apartments,Luxury Skopje Apartments,,otel,,,Cкoпje,1000,,,Пајко Маало,MK,Skopje,,http://luxuryskopjeapartments.com/,no,+389 (0)71 38 68 11,,info@Lsarent.com,wlan,,,,,,,,,,,,,,,,,,,,,,,,,
21.4386311,41.9993482,123273652,,hotel,yes,Super 8,,,,,Cкoпje,1000,,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42430516,42.00231252,223409538,6,hotel,yes,Хотел Резиденс Ин,,,,Hotel Residence Inn,Cкoпje,1000,Hotel Residence Inn,,Коле Неделковски,MK,Skopje,Kole Nedelkovski Street,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42606651,42.0033629,379884572,,hotel,yes,Софка Парк - Кај Ефто,,,,Sofka Park - Kaj Efto,,,,,,,,,http://hotelimakedonija.com.mk/mk/Hotel/1161/Hotel-Sofka-Park-Kaj-Efto-Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.42581284,42.00349284,379884574,14,hotel,yes,Томче Софка,,,restaurant,Tomche Sofka,,,,,Јордан Хаџиконстантинов Џинот,,,,http://hotelimakedonija.com.mk/mk/Hotel/62/Hotel-Tomce-Sofka-Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.43626673,42.00176122,474869849,21,hotel,yes,Bushi Resort & Spa,,Bushi Resort & Spa,,,Skopje,1000,,,Samoilova Kjurchiska,MK,,,http://bushiresort.com/info/,,+389 2 312 5130,5,info@bushiresort.com,,,,,,,,,,,,,,,,,,,,,Samoilova,,,,,
21.4367473,42.00173572,474869852,105,hotel,yes,Hotel Old Bazaar,,,,,Cкoпje,1000,,,Kavtandziska,MK,Skopje,,http://www.old-bazaar.com,,+389 2 3241 176,,,,,,,,,,,,,,,,,,,,,,,,http://www.booking.com/hotel/mk/old-bazaar.en-gb.html,https://www.facebook.com/hoteloldbazaar,https://plus.google.com/+Oldbazaarhotel,http://www.tripadvisor.com/Hotel_Review-g295110-d6833184-Reviews-Hotel_Old_Bazaar-Skopje_Skopje_Region.html,
21.43879309,42.00164049,176481145,,hotel,yes,Арка,,,,,Cкoпje,1000,Аrka,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotel Arka
21.43955025,42.00146125,379878806,,hotel,yes,Хамбург,,,,Hamburg,,,,,,,,,http://hotelhamburg.mk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4492738,41.9973856,476217893,,hotel,yes,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.45314255,41.99879249,175413664,,hotel,yes,Хотел Континентал,,,,,Cкoпje,1000,,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
